registro;nif;nombre;situacion;finalidad;direccion_nombre_via;direccion_municipio_nombre;direccion_provincia_nombre;direccion_isla_nombre;pagina_web;email
13;G38014536;"FUNDACION CANARIA ""PATRONATO CONDADO DEL PALMAR""";Registrada con actividad;EDUCATIVAS;Calle C/ Hermano Apolinar, 12.// Avenida Emilio Luque, nº 36 Pl. 1º D;La Orotava;Santa Cruz de Tenerife;Tenerife;-;administracion@martinezdeazagra.com
253;G35927037;FUNDACIÓN CANARIA NANINO DIAZ CUTILLAS;Registrada con actividad;CULTURALES;Calle C/. Sor Brígida Castelló, nº 1 // C/ Bravo Murillo, 33;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.fundacionnanino.es/;fundacionnanino@grancanaria.com fsuarez@grancanaria.com    fernandosuar@gmail.com
351;G76766708;LA FUNDACIÓN CANARIA DIARIO DE AVISOS;Registrada con actividad;CULTURALES;Vía Principal Dársena Pesquera, Edificio Sofitesa, Naves 1,2 y 3, C.P. 38111 de Santa Cruz de Tenerife;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;https://fundaciondiariodeavisos.com/;daf@diariodeavisos.com
115;G38518692;"FUNDACION CANARIA  ""SANTUARIO DE CANDELARIA""";Registrada con actividad;SOCIALES;Plaza de la Patrona de Canarias, nº 2;Candelaria;Santa Cruz de Tenerife;Tenerife;-;LUIS.TRUJILLO@BALTIA.ES
17;G35218213;"FUNDACIÓN CANARIA ""BRAVO MURILLO""";Registrada con actividad;EDUCATIVAS;Calle C/. Carvajal, nº 2         // Carretera Al Fondillo nº4 -35017- LAS PALMAS DE G.C.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.bravomurillobs.com/;vgarcias@unidam.es
404;G09883992;FUNDACIÓN CANARIA  ALAS;Registrada con actividad;SOCIALES;Calle Vía Láctea;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;contacto@fundacioncanariaalas.org
77;_U;"FUNDACION CANARIA PARA EL DESARROLLO SOCIAL DE CANARIAS ""FUNDESCAN""";Extinguida;EDUCATIVAS;Calle C/. Franchy roca, nº 5 - 1º;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
330;35363738;FUNDACION CANARIA HARIDIAN MÁS DE CINCO MIL ENFERMEDADES RARAS;Sin actividad;BENÉFICAS;Calle C/ Secretario Artiles, nº 83 piso 5 Oficina 501, Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
227;G38848024;FUNDACIÓN CANARIA PARA LA EDUCACIÓN Y LA CULTURA;Registrada con actividad;EDUCATIVAS;Calle C/. Humo, nº 1 6º A;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;https://www.fucec.es/;GERENCIA@FUCEC.ES
119;_U;"FUNDACIÓN CANARIA DE TELECOMUNICACIONES (EXTINGUIDA) por fusión con la Fundación ""AUNA"", la FUNDACIÓN Madrileña de Telecomunicaciones y la Fundación Aragón del Cable";Extinguida por fusión;INVESTIGACIÓN;Polígono Polígono Industrial Los Majuelos, Polígono 5, Manzana 3, Edificio 1;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;_U
121;G38546156;"FUNDACION CANARIA DE AGRICULTURA Y MEDIO AMBIENTE  ""JOSE MIGUEL GALVAN BELLO""";Registrada con actividad;CULTURALES;Calle C/. Ramón y Cajal, nº 12;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;administracion@asaga-asaja.com
390;G67966754;FUNDACIÓN CANARIA JACARANDA PARA LA PROTECCIÓN DE LA BIOSFERA;Registrada con actividad;MEDIOAMBIENTALES;Calle CHOPIN,;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://lapalmabiosfera.es/;alberto@rieraasesores.com
56;G35337641;"FUNDACION CANARIA ""CASA DE LOS PATRONOS DE LA VIRGEN DEL PINO""";Registrada con actividad;CULTURALES;Calle Casa de los Patronos de la Virgen del Pino, Plaza de Villa de Teror, s/n.;Teror;Las Palmas;Gran Canaria;https://fedac.org/museosetnograficos/fundacion-casa-de-los-patronos-de-la-virgen-del-pino/;amanrique@elcortijo.es
364;G76342286;FUNDACIÓN CANARIA DE DEPORTE INCLUSIVO CLUB NATACIÓN LAS PALMAS;Registrada con actividad;FOMENTO DEL DEPORTE;Plazoleta Emilio Ley, s/n, código postal 35005, de Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://cnlaspalmas.es/;fundacion_natacion_inclusiva@cnlaspalmas.es  presidencia@cnlaspalmas.es
397;G72488844;FUNDACIÓN CANARIA ARTISOPHIA POR LA CULTURA, LA ECOLOGÍA Y LA PAZ;Registrada con actividad;CULTURALES;Calle Ruiz de Alda, N.º 10-B, 2º-B, código postal 35007, de Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.fundacionartisophia.org/;contacto@fundacionartisofia.org
398;G44584985;FUNDACIÓN CANARIA MÉXICO CANARIAS;Registrada con actividad;CULTURALES;Plaza de la Concepción, N.º 16, código postal 38201, San Cristóbal de La Laguna, Santa Cruz de Tenerife.;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;https://www.fundacionmexicocanarias.com/;_U
274;G76014331;FUNDACION CANARIA DENTAL;Registrada con actividad;SOCIALES;Calle C/. Mayor de Triana, nº 60;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://coelp.es/fundacion-canaria-dental/patronos.html;info@coelp.es administracion@coelp.es
377;G42934364;FUNDACION CANARIA KISHOO;Registrada con actividad;EDUCATIVAS;Calle General de Antequera, nº5;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;zwaldrep@canariasadv.es
335;G76251115;Fundación Canaria Chekipa;Registrada con actividad;MEDIOAMBIENTALES;Carretera Carretera general de Jandia, km 17, La Lajita, Pájara, Fuerteventura.;Pájara;Las Palmas;Fuerteventura;-;administracion@chekipafoundation.org
78;_U;FUNDACION PAZ Y SOLIDARIDAD CANARIA;Sin actividad;SOCIALES;Calle C/ Méndez Núñez, nº 84- planta 13;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
46;G35252154;"FUNDACIÓN CANARIA  ""VEGA SINTES""";Registrada con actividad;EDUCATIVAS;Calle  Crrt. de la Atalaya n? 31 35307 Sta. Br?gida LP// Alcalde Díaz Saavedra nº 23 1º E;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;fundacionvegasintes@gmail.com
208;G35851666;FUNDACION  CANARIA DE APOYO AL  SINDROME DE DOWN;Registrada con actividad;SOCIALES;Calle C/. León y Castillo, 120-1º-B, Portal 6 Edificio EURO2000;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.downlaspalmas.com/financiador/fundacion-tutelar-canaria-sindrome-de-down;ftcsindromedown@telefonica.net
71;G38386652;"FUNDACION CANARIA ""MONSEÑOR ARMANDO MONTOLIU""";Sin actividad;SOCIALES;Calle C/ Lorenzo García del Castillo, nº 4, Edificio Mirador II, Local 1, Barrio del Perú;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
378;G02794337;FUNDACION CANARIA MAROPARQUE;Registrada con actividad;PROTECCIÓN DE LOS ANIMALES;Calle La Cuesta, nº28;Breña Alta;Santa Cruz de Tenerife;La Palma;http://www.maroparque.es/;_U
329;G38535353;FUNDACIÓN CANARIA JEFFREN SUÁREZ FOUNDATION;Sin actividad;BENÉFICAS;Calle C/ Los Cipreses nº 9, San Gonzálo- Tegueste, Tenerife;Tegueste;Santa Cruz de Tenerife;Tenerife;-; info@jeffrensuarezfoundation.org
162;G35646926;"FUNDACIÓN CANARIA ""GRAN CANARIA CONVENTION BUREAU""";Registrada con actividad;OTRAS;Avenida RAFAEL CABRERA, 1, PISO 1º- OFIC. 5;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.grancanariacb.com/;info@grancanariacb.com    administracion@grancanariacb.com
375;G05409420;FUNDACIÓN CANARIA DESTILERÍAS AREHUCAS;Registrada con actividad;CULTURALES;Calle La Era de San Pedro, 2;Arucas;Las Palmas;Gran Canaria;https://fundacionarehucas.es/;arehucas@atenealex.com
61;G35364975;"FUNDACION CANARIA ""MASPALOMAS""";Sin actividad;EDUCATIVAS;Calle C/ Marcial Franco (Casa Condal) - San Fernando de Maspalomas;San Bartolomé de Tirajana;Las Palmas;Gran Canaria;-;_U
178;G35621564;"FUNDACIÓN CANARIA  ""LUCIO DE LAS CASAS""";Registrada con actividad;EDUCATIVAS;Calle C/. Juan de Quesada, nº 30;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;secretaria.general@ulpgc.es
174;000001011;"FUNDACION CANARIA ""ORENCIO MORENO""";Sin actividad;CULTURALES;Calle C/. Bencomo, nº 11, D;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;_U
125;G35563147;"FUNDACIÓN CANARIA  ""FESTIVAL DE ÓPERA DE LAS PALMAS DE GRAN CANARIA""";Registrada con actividad;CULTURALES;Calle C/ SAN FRANCISCO Nº 6 BAJO;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;gerencia@operalaspalmas.org
123;G35544204;FUNDACIÓN CANARIA PARA LA REFORESTACIÓN;Registrada con actividad;MEDIOAMBIENTALES;Calle Atalaya, nº 45 Polígono Industrial de las Torres;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;"sergioarmas@fundacionforesta.org ; cesarpadron@fundacionforesta.org"
353;G76772821;FUNDACIÓN CANARIA CLUB DEPORTIVO TENERIFE;Registrada con actividad;FOMENTO DEL DEPORTE;Calle Estadio Heliodoro Rodríguez López. Puerta 18 B. Calle Femando Barajas Prat s/n;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;www.clubdeportivotenerife.es;fundacipn@clubdeportivotenerife.es
283;G76504703;FUNDACIÓN CANARIA STARLIGHT PARA LA DIFUSIÓN DE LA ASTRONOMÍA;Registrada con actividad;CIENTÍFICAS;Calle C/Vía Lactea s/n, San Cristobal de la Laguna, Santa Cruz de Tenerife;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;https://www.fundacionstarlight.org/;fundacionstarlight@fundacionstarlight.org
321;G76220177;FUNDACIÓN CANARIA ACHE;Registrada con actividad;LABORAL;Calle C/ Travieso nº 23 35002 Las Palmas De Gran Canaria;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;INFO@ACHECANARIAS.COM
336;G76256346;Fundación Canaria de Apoyo a las Personas Afectadas por Trastornos del Neurodesarrollo (FUNTEAC).;Registrada con actividad;BENÉFICAS;Avenida  Avenida Juan XXIII, n° 42- C.P. 35004  Las Palmas de Gran Canaria.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;info@funteac.org
57;G35359090;FANS, FUNDACION CANARIA DE AYUDA A LOS NIÑOS SUPERDOTADOS;Registrada con actividad;EDUCATIVAS;Calle C/. Juan Rejón nº 110-5º B;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;fundacion.fans@gamil.com
387;G09702853;FUNDACIÓN CANARIA LIVING LAB PARA LA INVESTIGACIÓN;Registrada con actividad;INVESTIGACIÓN;Calle Campus de Tafira, Edificio Polivalente IV, planta 3, oficina 315, de Las Palmas de Gran Canaria;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://canariaslivinglab.org/;info@canariaslivinglab.org
198;_U;"FUNDACION CANARIA  ""VITALIA""";Sin actividad;CULTURALES;Calle C/. Luis Doreste Silva, nº 22, Local A;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
12;G35134097;"FUNDACION CANARIA ""MAPFRE CANARIAS""";Registrada con actividad;LABORAL;Calle C/ Juan de Quesada, 10.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.fundacionmapfrecanarias.org/;infofmg@mapfre.com
365;G76345545;FUNDACIÓN CANARIA UNIVERSIDAD FERNANDO PESSOA CANARIAS;Registrada con actividad;CULTURALES;Calle La Juventud, s/nº 35450- SANTA MARÍA DE GUIA- LAS PALMAS;Santa María de Guía;Las Palmas;Gran Canaria;https://www.ufpcanarias.es/;josejuan@barberasociados.com
101;G35486059;"FUNDACIÓN CANARIA ""ORQUESTA FILARMÓNICA DE GRAN CANARIA""";Registrada con actividad;EDUCATIVAS;Calle C/ Bravo Murillo, nº 23 // Paseo Principe de Asturias s/n 3510-Las Palmas GC;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://ofgrancanaria.com/;jcsaavedra@ofgrancanaria.com
16;G38321030;"FUNDACION ""EL MAESTRO"", INSTITUCION LAICA DE ENSEÑANZA";Registrada con actividad;EDUCATIVAS;Calle C/ Emilio Calzadilla, 32.;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;https://www.leinumber.com/leicert/959800HP01VEEXKVW174/;fundacioncanariaelmaestro@hotmail.com
27;G35263086;"FUNDACIÓN CANARIA ""SANTIAGO E. RIVERO YÁNEZ""";Registrada con actividad;SOCIALES;Calle Coronel Rocha,  9 (otro domicilio: Casa Parroquial C/ De la Herrería, 4 35330 Villa de Teror);Teror;Las Palmas;Gran Canaria;-;_U
300;G76166107;FUNDACIÓN CANARIA CIUDAD DE GÁLDAR;Registrada con actividad;CULTURALES;Calle Domicilio: c/ Guillén Morales, nº 13, Galdar, Gran Canaria.                                                    Ayuntamiento C/Capitan Quesada ,nº 29 35460 -Galdar (Las Palmas);Gáldar;Las Palmas;Gran Canaria;https://www.galdar.es/fundacion-canaria-ciudad-de-galdar/;pino.diaz@gpedregal.es
42;G38298766;FUNDACIÓN CANARIA PARA LAS PERSONAS CON SORDERA Y SUS FAMILIAS -FUNCASOR-;Registrada con actividad;LABORAL;Carretera Carretera Gral. La Laguna-Punta del Hidalgo, km 8.1, Tegueste, Santa Cruz de Tenerife.;Tegueste;Santa Cruz de Tenerife;Tenerife;https://www.funcasor.org/;funcasor@funcasor.org
102;G38383838;"FUNDACIÓN CANARIO-ALEMANA ""ALEXANDER VON HUMBOLDT""";Propuesta de extinción;CULTURALES;Casas Consistoriales del Municipio del Puerto de la Cruz;Puerto de La Cruz;Santa Cruz de Tenerife;Tenerife;-;_U
30;R3500061A;FUNDACION ESPOSOS D. SANTIAGO ASCANIO Y MONTEMAYOR Y DOÑA RAFAELA MANRIQUE DE LARA.  COLEGIO SAN JUAN BOSCO;Liquidada;EDUCATIVAS;Carretera Carretera del Centro, 54;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;www.sanjuanbosco-laspalmas.com
114;_U;"FUNDACION CANARIA  ""UNIVERSIDAD DE VERANO DE LA GOMERA""";Sin actividad;_U;Calle C/. Profesor Armas Fernández, nº 2Edificio del Cabildo de La Gomera;San Sebastián de la Gomera;Santa Cruz de Tenerife;La Gomera;-;uvlg@culturacanaria.com
305;G76601616;FUNDACIÓN CANARIA PARA EL CONTROL DE LAS ENFERMEDADES TROPICALES (FUNCCET);Registrada con actividad;INVESTIGACIÓN;Avenida avda. de Francisco Sánchez s/n, Edif. Instituto de Enfermedades Tropicales. Campus de Anchieta, Universidad de La Laguna, 38203- La Laguna, Tenerife.;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;fundacion@funccet.org
172;G35742386;"FUNDACIÓN BENÉFICA DE ENSEÑANZA ""ANTONIO VILA GARCÍA-SOLALINDE FUNDACIÓN CANARIA"".";Registrada con actividad;EDUCATIVAS;Calle C/. Domingo J. Navarro, nº 32 / Leon y Castillo 48, 1º Dcha;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
175;G35737469;FUNDACIÓN CANARIA DE LAS ARTES;Registrada con actividad;CULTURALES;Calle C/. San Borondón, nº 34  -  San Fernando de Maspalomas// C/Presidente Alvear nº 13 1ºA35006;San Bartolomé de Tirajana;Las Palmas;Gran Canaria;-;DAVIDBLANCO@QUEVEDOCONSULTORES.INFO  monica@quevedoconsultores.info
3;_U;"FUNDACION CANARIA LABORAL ECONOMATO  ""CEPSA"" DE TENERIFE  (DISCUTIBLE, NO SEA DE APLICACIÓN EL SILENCIO POSITIVO) EXTINGUIDA";Extinguida;EDUCATIVAS;Calle C/ Alvaro Rodríguez López, s/n;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
66;_U;FUNDACION PRIVADA BANCO DE ALIMENTOS DE CANARIAS;Sin actividad;SOCIALES;Calle C/ Principe Ruyman, 47-bajo;San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;_U
96;G35467075;"FUNDACION  CANARIA  ""FEDALIME""";Sin actividad;LABORAL;Calle C/. León y Castillo, nº 49 - 1ª planta;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
106;_U;"FUNDACIÓN CANARIA  ""ICEPSS""";Sin actividad;EDUCATIVAS;Calle C/ Castillejos, nº 67;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;icepss@icepss.es
158;_U;FUNDACION CANARIA DEL DEPORTE EN SANTA LUCIA;Extinguida;FOMENTO DEL DEPORTE;Calle C/. El Escorial, nº 7;Santa Lucía;Las Palmas;Gran Canaria;-;_U
256;G38957908;FUNDACIÓN CANARIA TABURIENTE ESPECIAL;Registrada con actividad;BENÉFICAS;Calle C/. Real, nº 21  //     C/ Tabaiba nº 23;Los Llanos de Aridane;Santa Cruz de Tenerife;La Palma;https://funcataes.org;cotaburiente@telefonica.net
25;G38252573;"FUNDACIÓN CANARIA ""HOGAR SANTA RITA""";Registrada con actividad;BENÉFICAS;Calle Bencomo, 3- Punta Brava.;Puerto de La Cruz;Santa Cruz de Tenerife;Tenerife;https://fundacionhogarsantarita.org/;tomasvillar@hogarsantarita.com  hogarsantarita@hogarsantarita.com
356;G76301829;FUNDACIÓN CANARIA LA COLECTIVA;Registrada con actividad;SOCIALES;Calle C/ Paseo de Chil, nº 3 bajo;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;http://lacolectivacanarias.org/fundacion/;lacolectivacanarias@gmail.com
262;_U;FUNDACION CANARIA ILD EUROPA (SIN ACTIVIDAD)(DOTACION);Sin actividad;BENÉFICAS;Calle C/. Juan Pérez Delgado Nijota, nº 16;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
241;G35908383;FUNDACIÓN CANARIA PANCHO GUERRA;Registrada con actividad;CULTURALES;Calle C/. Luis Morote, nº 59 - 2º  //C/ COLOMBIA Nº 22 3º D 35007 LAS PALMAS;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://panchoguerra.es/;coecan@infonegocio.com
28;G35039411;"FUNDACIÓN CANARIA ""ESCUELAS DE ANTÚNEZ""";Registrada con actividad;EDUCATIVAS;Calle Luis Antúnez, 37.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://lasalleantunez.es/;lasalleantunez@lasalleantunez.es
68;G35396860;FUNDACIÓN ESCUELA NORUEGA DE GRAN CANARIA;Registrada con actividad;EDUCATIVAS;Calle C/ Bjorn Lyng -nº 4 Barranco de la Verga- Mogán;Mogán;Las Palmas;Gran Canaria;-;jtlestum@online.no  REKTOR@COLEGIO.NO
419;G75605519;FUNDACIÓN CANARIA UNIÓN DEPORTIVA TENERIFE COSTA ADEJE;Registrada con actividad;FOMENTO DEL DEPORTE;Calle  Polideportivo Las Torres. Calle Tágara número 4;Adeje;Santa Cruz de Tenerife;Tenerife;-;_U
367;G67946814;FUNDACIÓN CANARIA NOS MOVEMOS;Registrada con actividad;EDUCATIVAS;Calle  Calle Las Adelfas, nº 32, (Polígono Industrial de Arinaga );Agüimes;Las Palmas;Gran Canaria;-;responsabilidadsocial@grupo1844
151;G38630505;"FUNDACION CANARIA  ""ALHONDIGA DE TACORONTE""";Registrada con actividad;OTRAS;Calle Antiguo inmueble de la Alhóndiga de Tacorone, C/. El Calvario S/N;Tacoronte;Santa Cruz de Tenerife;Tenerife;-;consejo1@tacovin.com
43;G38361903;FUNDACION LORO PARQUE;Registrada con actividad;MEDIOAMBIENTALES;Avenida  AVD. LORO PARQUE S/N 38400 PUERTO DE LA CRUZ;Puerto de La Cruz;Santa Cruz de Tenerife;Tenerife;https://www.loroparque-fundacion.org/;LPF@LOROPARQUE-FUNDACION.ORG
303;G76564442;FUNDACIÓN CANARIA PARA LA PROMOCIÓN DE LA CULTURA Y LAS ARTES EN EL NORTE DE TENERIFE, FUNCANORTE;Registrada con actividad;CULTURALES;Avenida Avda. de Canarias, nº 6, Los Realejos. CALLE SAN AGUSTÍN 7;Los Realejos;Santa Cruz de Tenerife;Tenerife;-;realejos@funcanorte.es
211;G35;FUNDACION CANARIA PARA LA INTEGRACION Y COOPERACION CON CHINA;Sin actividad;OTRAS;Avenida Avda. Rafael Cabrera, nº 4 - 2º  B;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;INFO@FUNDACION-FICC.COM
108;G38483095;"FUNDACIÓN CANARIA ""HOSPITAL NUESTRA SEÑORA DE LOS DOLORES""";Registrada con actividad;_U;Calle C/. San Antonio, nº 7;Icod de Los Vinos;Santa Cruz de Tenerife;Tenerife;-;hospital@buenconsejoicod.com
185;G35773530;"FUNDACIÓN CANARIA  ""SOCIOSANITARIA""";Registrada con actividad;SOCIALES;Calle C/ Matías Padrón nº 97 35004 -Las Palmas de Gran Canaria.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://fundacioncanaria.com/;facturacion@aeromedica.com
290;G38990313;FUNDACION CANARIA INSTITUTO DE LA VIÑA Y DEL VINO;Registrada con actividad;OTRAS;Calle C/ Solitica nº 20 -38440-La Guancha- Santa Cruz de Tenerife.;La Guancha;Santa Cruz de Tenerife;Tenerife;-;_U
242;_U;FUNDACIÓN CANARIA TEATRO PEREZ GALDOS;Extinguida por fusión;CULTURALES;Plaza de Stagno, nº 1;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
401;G44908747;FUNDACION CANARIA VERITAS;Registrada con actividad;EDUCATIVAS;Carretera Carretera de Quilmes, N.º 1, Tafira Baja (c.p. 35017),de Las Palmas de Gran Canaria.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;bllorens@llorens-abogados.com
177;G35739432;"FUNDACIÓN CANARIA  ""YRICHEN""";Registrada con actividad;SOCIALES;Calle C/. Sor Carmen Peña Pulido, s/n  - La Pardilla;Telde;Las Palmas;Gran Canaria;-;araceli.castellano@yrichen.org    yrichen@yrichen.org
134;G35622844;"FUNDACION CANARIA DE LA FEDERACION DE EMPRESARIOS DEL METAL DE LAS  PALMAS ""FEMEPA""";Registrada con actividad;LABORAL;Calle C/. León y Castillo, nº 89 - 4º C;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;YAUCI.NOBLE@FEMEPA.ES
72;_U;"FUNDACION ""MAS 50""";Sin actividad;BENÉFICAS;Calle C/ Méndez Núñez, nº 100-2º der.;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
132;_U;"FUNDACION CANARIA  ""BENAHOARE""";Sin actividad;CULTURALES;Calle C/. Marquitos, núm. 4 - 1º G.;Santa Cruz de La Palma;Santa Cruz de Tenerife;La Palma;-;_U
412;G55415616;FUNDACION CANARIA NEWPORT;Registrada con actividad;CIENTÍFICAS;Calle Calle Fernando Guanarteme, número 171, (C.P. 35010 Las Palmas de Gran Canaria);Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
325;G76072255;FUNDACIÓN CANARIA TINDAYA;Sin actividad;CULTURALES;Calle  calle Barcelona, número 18 de Puerto del Rosario.;Puerto del Rosario;Las Palmas;Fuerteventura;-;yourmail@yourdomain.com
142;G38583662;"FUNDACIÓN CANARIA DE EDUCACIÓN Y ENSEÑANZA ""FUNDECA""";Registrada con actividad;EDUCATIVAS;Calle C/. Costa y Grijalba, nº 94     // RAMBLA DE SANTA CRUZ Nº 94;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;buzon@colegio-hispano-ingles.es
269;G76001007;FUNDACIÓN CANARIA PARQUE CIENTÍFICO TECNOLÓGICO DE LA UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA;Registrada con actividad;CIENTÍFICAS;Calle  C/ Practicante Ignacio Rodríguez s/n Edificio Polivalente III Campus Universitario de Tafira;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.fpct.ulpgc.es/es/;mjpadron@fpct.ulpgc.es
304;G76563675;FUNDACIÓN CANARIA MANUEL BETHENCOURT;Registrada con actividad;CULTURALES;Calle c/ Libertad, nº 56, Arafo, Tenerife.;Arafo;Santa Cruz de Tenerife;Tenerife;-;_U
224;4;"""FUNDACION CANARIA CENTRO GRAN CANARIO DE ESTUDIOS DEL TRANSPORTE   INTERMODAL-CEGRETI""";Sin actividad;OTRAS;Paseo Paseo Tomás Morales, nº 3, 2ª planta;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;-;_U
207;G35816420;FUNDACION CANARIA DEL DEPORTE;Registrada con actividad;FOMENTO DEL DEPORTE;Calle C/. Bravo Murillo, nº 23;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://cabildo.grancanaria.com/w/organismo-fundaci%C3%B3n-canaria-del-deporte;grupopodemos@grancanaria.com
59;G384337612;"FUNDACION ""FERCO""";En trámites de extinción;EDUCATIVAS;Polígono Polígono Industrial Añaza, s/nEdificio Fred Olsen;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
258;_U;FUNDACION CANARIA CANDIDO RODRIGUEZ CABRAL (SIN ACTIVIDAD);Sin actividad;SOCIALES;Calle C/. Manuel García Oliva Concejal, nº 12;Telde;Las Palmas;Gran Canaria;-;_U
410;G55417547;LA FUNDACIÓN CANARIA CEPSOCIAL;Registrada con actividad;SOCIALES;Calle Alonso de Armas Ayala Profesor, número 12, derecha, 1º, c.p. 35200, Telde.;Telde;Las Palmas;Gran Canaria;-;_U
371;G76816826;FUNDACIÓN CANARIA NIELS AXEL;Registrada con actividad;EDUCATIVAS;Calle Juan de la Cruz, nº 61;Santa Cruz de Tenerife;Santa Cruz de Tenerife;Tenerife;-;_U
333;G76262948;FUNDACIÓN CANARIA FLORA ACOGE;Registrada con actividad;SOCIALES;Calle  c/ La Palma, nº 12, 35550 Arrecife, Lanzarote.;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://floraacogefundacion.org/;floraacoge@gmail.com
52;_U;FUNDACION CERES;Sin actividad;EDUCATIVAS;"Urbanizacion Industrial, ""Los Majuelos"", Taco.";San Cristóbal de La Laguna;Santa Cruz de Tenerife;Tenerife;-;_U
194;_U;"""K.I.N.D., FUNDACION CANARIA""";Sin actividad;CULTURALES;Centro Comercial Pueblo Canario, Local 322;Adeje;Santa Cruz de Tenerife;Tenerife;-;_U
344;G76724723;FUNDACIÓN CANARIA  RESERVA MUNDIAL DE LA BIOSFERA LA PALMA;Registrada con actividad;MEDIOAMBIENTALES;Calle C/ Calle Francisco Abreu, n° 9- C.P.;Santa Cruz de La Palma;Santa Cruz de Tenerife;La Palma;https://lapalmabiosfera.es/;nieves@lapalmabiosfera.es    asanblas@lapalmabiosfera.es
67;G35383793;FUNDACIÓN PATRONATO DE ENSEÑANZA SUPERIOR A DISTANCIA DE LAS PALMAS DE GRAN CANARIA. FESAD;Registrada con actividad;EDUCATIVAS;Calle C/ Luis Doreste Silva, 101;Las Palmas de Gran Canaria;Las Palmas;Gran Canaria;https://www.unedgrancanaria.es/historia_fesad;mter.torres@las-palmas.unes.es
